"filename", "language", "XML", "Groovy", "Batch", "Properties", "Java", "comment", "blank", "total"
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepDistance.java", "Java", 0, 0, 0, 0, 11, 1, 4, 16
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepDuration.java", "Java", 0, 0, 0, 0, 11, 1, 4, 16
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepEndLocation.java", "Java", 0, 0, 0, 0, 11, 1, 4, 16
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepStartLocation.java", "Java", 0, 0, 0, 0, 11, 1, 4, 16
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/HistoryContainer.java", "Java", 0, 0, 0, 0, 53, 2, 21, 76
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/LocationContainer.java", "Java", 0, 0, 0, 0, 58, 0, 16, 74
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/ProfileContainer.java", "Java", 0, 0, 0, 0, 48, 0, 13, 61
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/RouteContainer.java", "Java", 0, 0, 0, 0, 52, 0, 17, 69
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/SharedContainer.java", "Java", 0, 0, 0, 0, 36, 2, 15, 53
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/UserRouteContainer.java", "Java", 0, 0, 0, 0, 47, 0, 16, 63
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/AddHistory.java", "Java", 0, 0, 0, 0, 90, 9, 16, 115
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetDirections.java", "Java", 0, 0, 0, 0, 64, 4, 13, 81
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetProfile.java", "Java", 0, 0, 0, 0, 48, 6, 12, 66
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetRoute.java", "Java", 0, 0, 0, 0, 51, 4, 10, 65
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/PostRoute.java", "Java", 0, 0, 0, 0, 107, 3, 26, 136
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/SearchRoutes.java", "Java", 0, 0, 0, 0, 55, 4, 16, 75
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/ShareRoute.java", "Java", 0, 0, 0, 0, 79, 4, 19, 102
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/DirectionsCallback.java", "Java", 0, 0, 0, 0, 5, 0, 4, 9
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/RouteCallback.java", "Java", 0, 0, 0, 0, 5, 0, 3, 8
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/SearchRoutesCallback.java", "Java", 0, 0, 0, 0, 6, 0, 4, 10
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/VolleyProfileCallback.java", "Java", 0, 0, 0, 0, 5, 0, 2, 7
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable-v24/ic_launcher_foreground.xml", "XML", 30, 0, 0, 0, 0, 0, 0, 30
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable-xhdpi/ic_baseline_shared.xml", "XML", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/btn_left_side.xml", "XML", 23, 0, 0, 0, 0, 0, 3, 26
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/btn_right_side.xml", "XML", 23, 0, 0, 0, 0, 0, 3, 26
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/clock_background.xml", "XML", 12, 0, 0, 0, 0, 0, 0, 12
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/filter_background.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 13
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_account_box.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_arrow_drop_down_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_flag_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_history_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_login_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_map_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_search_24.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_circle_green.xml", "XML", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 170, 0, 0, 0, 0, 0, 1, 171
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/map_mode_selector_title_background.xml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_edit.xml", "XML", 133, 0, 0, 0, 0, 0, 15, 148
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_friend.xml", "XML", 78, 0, 0, 0, 0, 0, 9, 87
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_login.xml", "XML", 78, 0, 0, 0, 0, 0, 10, 88
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_main.xml", "XML", 34, 0, 0, 0, 0, 0, 7, 41
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_register.xml", "XML", 147, 0, 0, 0, 0, 0, 17, 164
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_route.xml", "XML", 139, 0, 0, 0, 0, 0, 14, 153
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_followers.xml", "XML", 16, 0, 0, 0, 0, 0, 2, 18
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_following.xml", "XML", 39, 0, 0, 0, 0, 0, 4, 43
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_history.xml", "XML", 26, 0, 0, 0, 0, 0, 3, 29
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_map.xml", "XML", 109, 0, 0, 0, 0, 0, 11, 120
